"MovieName","Year","Director","SummaryLength","AactorLength","Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"핏불테리아",2012,"고명안",1,3,"액션","염우상","주연","이태훈","주연","박재훈","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"드라마 스페셜 - 아빠가 간다",2012,"조희봉(이강석)",1,8,"드라마","조희봉","주연","신소미","조연","김진수","조연","방준서","조연","김형범","조연","이윤애","조연","현석","조연","이정호","조연","이미지","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"피아니시모",2011,"이철하",1,20,"드라마","전진","주연","손호영","주연","배슬기","주연","심은진","주연","김형준","주연","안재모","주연","이태성","주연","서지영","주연","남규리","주연","박기웅","주연","김규종","주연","김상혁","주연","차화연","주연","안석환","주연","테이","주연","공현주","주연","박정민","주연","홍수현","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"드라마 스페셜 - 저어새, 날아가다",2012,"전산",1,6,"드라마","송종호","주연","김정난","조연","김혜정","조연","오용","조연","정은표","조연","이주석","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"세계의 끝",2013,"안판석",1,12,"드라마","윤제문","주연","장경아","주연","장현성","주연","김창완","조연","박혁권","조연","윤복인","조연","길해연","조연","이화룡","조연","송삼동","조연","김용민","조연","장용철","조연","전석찬","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"내 연애의 모든 것",2013,"손정현",1,14,"드라마","신하균","주연","이민정","주연","박희순","주연","한채아","주연","진태현","조연","천호진","조연","장광","조연","공형진","조연","손덕기","조연","민지아","조연","김정난","조연","허정민","조연","김혜옥","조연","전민서","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"미안해요",2011,"김보원",1,2,"애니메이션",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"모크샤",2012,"구성주",2,5,"드라마","범죄","장혁진","주연","박길수","주연","민경진","주연","구성주","주연","김정팔","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AV스타 납치사건",2012,"김춘찬",1,4,"스릴러","에이미","주연","문정수","주연","한기윤","주연","이경민","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"차이나 블루",2012,"김건",2,13,"드라마","멜로/로맨스","백성현","주연","정주연","주연","김주영","주연","박재훈","조연","최상학","조연","전창걸","조연","이상훈","조연","정찬훈","조연","하태성","조연","이지운","조연","김태응","조연","손세빈","조연","임윤정","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"히말라야",2015,"이석훈",1,10,"드라마","황정민","주연","정우","주연","조성하","조연","김인권","조연","라미란","조연","김원해","조연","이해영","조연","전배수","조연","정규수","조연","성병숙","조연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"금지된 섹스, 불륜 2",2012,"이세일",1,4,"멜로/로맨스","장예지","주연","한예슬","주연","민지근","주연","강민우","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"노크",2012,"이주헌",2,5,"공포","멜로/로맨스","서우","주연","현성","주연","백서빈","주연","주민하","주연","은우","주연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
